Robot position: x: 220 y: 240 theta: 120

Measurements: 
Angle	Distance	Endpoint
-5	116.61903789690601	(249, 237)
-3	116.27553482998907	(249, 238)
-1	116.06894502837527	(249, 239)
1	116.0	(249, 240)
3	116.06894502837527	(249, 241)
5	116.61903789690601	(249, 243)
7	117.09824934643558	(249, 244)
9	117.71151175649729	(249, 245)
11	118.45674315968678	(249, 246)
13	119.33147112141039	(249, 247)
15	120.33287165193059	(249, 248)
17	121.45781160551181	(249, 249)
19	122.70289320142373	(249, 250)
21	124.06449935416659	(249, 251)
23	125.53883861180172	(249, 252)
25	127.12198865656563	(249, 253)
27	130.59862173851607	(249, 255)
29	132.48396129343357	(249, 256)
31	134.46189051177288	(249, 257)
33	138.67948658687772	(249, 259)
35	140.91131963046828	(249, 260)
37	145.60219778561037	(249, 262)
39	148.05404418657398	(249, 263)
41	153.15351775261317	(249, 265)
43	158.4929020492716	(249, 267)
45	164.04877323527901	(249, 269)
47	169.799882214329	(249, 271)
49	175.72706109191037	(249, 273)
51	184.91078930121952	(249, 276)
53	191.2066944434739	(249, 278)
55	200.8780724718355	(249, 281)
57	210.78899402008636	(249, 284)
59	224.32119828495925	(249, 288)
61	238.15961034566715	(249, 292)
63	252.253840406841	(249, 296)
65	273.7882393383616	(249, 302)
67	295.70255325241953	(249, 308)
69	321.645767887594	(249, 315)
71	355.4602650086223	(249, 324)
73	393.48697564214245	(249, 334)
75	443.44108966129875	(249, 347)
77	513.2796508726992	(249, 365)
79	599.3329625508679	(249, 387)
81	639.862485226318	(245, 398)
83	636.5532185135819	(239, 398)
85	634.4761618847473	(234, 398)
87	632.8096080180832	(228, 398)
89	632.113913784533	(223, 398)
91	632.113913784533	(217, 398)
93	632.8096080180832	(212, 398)
95	634.4761618847473	(206, 398)
97	637.0431696517905	(200, 398)
99	639.862485226318	(195, 398)
101	644.0496875241847	(189, 398)
103	649.0978354608802	(183, 398)
105	654.9870227722073	(177, 398)
107	661.6947936926813	(171, 398)
109	669.196533164959	(165, 398)
111	124.06449935416659	(209, 269)
113	109.2520022699813	(209, 265)
115	101.9803902718557	(209, 263)
117	94.82615672903758	(209, 261)
119	87.8179936004006	(209, 259)
121	84.38009243891595	(209, 258)
123	86.53323061113575	(208, 258)
125	74.4043009509531	(209, 255)
127	71.21797525905943	(209, 254)
129	68.11754546370561	(209, 253)
131	73.7563556583431	(208, 254)
133	65.11528238439882	(209, 252)
135	62.22539674441618	(209, 251)
137	59.464274989274024	(209, 250)
139	62.48199740725323	(208, 250)
141	65.60487786742691	(207, 250)
143	71.21797525905943	(206, 251)
145	57.688820407423826	(208, 248)
147	61.05735008989499	(207, 248)
149	64.4980619863884	(206, 248)
151	200.47942537826668	(176, 264)
153	53.665631459994955	(208, 246)
155	48.33218389437829	(209, 245)
157	52.0	(208, 245)
159	46.8187996428785	(209, 244)
161	50.59644256269407	(208, 244)
163	58.240879114244144	(206, 244)
165	53.36665625650534	(207, 243)
167	180.48822676285565	(176, 250)
169	48.662100242385755	(208, 242)
171	52.61178575186362	(207, 242)
173	48.16637831516918	(208, 241)
175	56.142675390472796	(206, 241)
177	64.1248781675256	(204, 241)
179	48.0	(208, 240)
181	52.0	(207, 240)
183	52.15361924162119	(207, 239)
185	56.142675390472796	(206, 239)
187	531.8646444350292	(88, 224)
189	534.6400658386912	(88, 219)
191	538.1449618829485	(88, 214)
193	542.3651906234396	(88, 209)
195	501.67718704362073	(99, 207)
197	444.07206622349037	(114, 207)
199	398.4971769034255	(126, 207)
201	393.7308725512898	(128, 205)
203	809.8987591051118	(34, 160)
205	751.5317691222374	(50, 160)
207	983.9105650413558	(1, 128)
209	1002.7562016761601	(1, 118)
211	1022.8196321932817	(1, 108)
213	239.63305281200255	(170, 207)
215	229.71286424577968	(173, 207)
217	216.81328372588243	(177, 207)
219	210.52315787105226	(179, 207)
221	201.3156725145859	(182, 207)
223	192.4162155328911	(185, 207)
225	186.67619023324855	(187, 207)
227	181.10770276274835	(189, 207)
229	175.72706109191037	(191, 207)
231	170.55204484262273	(193, 207)
233	165.60193235587562	(195, 207)
235	160.89748288895012	(197, 207)
237	158.64425612041552	(198, 207)
239	154.3502510525979	(200, 207)
241	150.3595690337	(202, 207)
243	148.48568954616468	(203, 207)
245	144.99655168313487	(205, 207)
